Viseme event received: audio offset: 100.0ms, viseme id: 19.
Viseme event received: audio offset: 187.5ms, viseme id: 4.
Viseme event received: audio offset: 250.0ms, viseme id: 6.
Viseme event received: audio offset: 312.5ms, viseme id: 18.
Viseme event received: audio offset: 375.0ms, viseme id: 6.
Viseme event received: audio offset: 537.5ms, viseme id: 19.
Viseme event received: audio offset: 587.0ms, viseme id: 0.
Viseme event received: audio offset: 787.5ms, viseme id: 2.
Viseme event received: audio offset: 800.0ms, viseme id: 6.
Viseme event received: audio offset: 912.5ms, viseme id: 4.
Viseme event received: audio offset: 962.5ms, viseme id: 21.
Viseme event received: audio offset: 1037.5ms, viseme id: 6.
Viseme event received: audio offset: 1112.5ms, viseme id: 21.
Viseme event received: audio offset: 1162.5ms, viseme id: 6.
Viseme event received: audio offset: 1225.0ms, viseme id: 20.
Viseme event received: audio offset: 1300.0ms, viseme id: 6.
Viseme event received: audio offset: 1375.0ms, viseme id: 20.
Viseme event received: audio offset: 1450.0ms, viseme id: 21.
Viseme event received: audio offset: 1500.0ms, viseme id: 6.
Viseme event received: audio offset: 1675.0ms, viseme id: 0.
